Participant_id	Playback method	Willingness
1	chorus-playlist	2
1	head-playlist	1
1	30sec-playlist	4
2	chorus-playlist	4
2	head-playlist	2
2	30sec-playlist	3
3	chorus-playlist	1
3	head-playlist	5
3	30sec-playlist	1
4	chorus-playlist	6
4	head-playlist	3
4	30sec-playlist	5
5	chorus-playlist	5
5	head-playlist	4
5	30sec-playlist	5
6	chorus-playlist	6
6	head-playlist	2
6	30sec-playlist	2
7	chorus-playlist	4
7	head-playlist	5
7	30sec-playlist	4
8	chorus-playlist	3
8	head-playlist	3
8	30sec-playlist	4
9	chorus-playlist	5
9	head-playlist	4
9	30sec-playlist	3
10	chorus-playlist	4
10	head-playlist	1
10	30sec-playlist	1
11	chorus-playlist	1
11	head-playlist	1
11	30sec-playlist	1
12	chorus-playlist	4
12	head-playlist	1
12	30sec-playlist	3
13	chorus-playlist	5
13	head-playlist	1
13	30sec-playlist	5
14	chorus-playlist	4
14	head-playlist	4
14	30sec-playlist	4
15	chorus-playlist	4
15	head-playlist	2
15	30sec-playlist	2
16	chorus-playlist	3
16	head-playlist	4
16	30sec-playlist	2
17	chorus-playlist	2
17	head-playlist	1
17	30sec-playlist	4
18	chorus-playlist	5
18	head-playlist	3
18	30sec-playlist	1
19	chorus-playlist	6
19	head-playlist	1
19	30sec-playlist	1
20	chorus-playlist	1
20	head-playlist	1
20	30sec-playlist	1
21	chorus-playlist	4
21	head-playlist	4
21	30sec-playlist	4
22	chorus-playlist	5
22	head-playlist	2
22	30sec-playlist	1
23	chorus-playlist	6
23	head-playlist	1
23	30sec-playlist	2
24	chorus-playlist	1
24	head-playlist	2
24	30sec-playlist	1
25	chorus-playlist	4
25	head-playlist	1
25	30sec-playlist	1
26	chorus-playlist	5
26	head-playlist	5
26	30sec-playlist	5
27	chorus-playlist	1
27	head-playlist	1
27	30sec-playlist	1
28	chorus-playlist	1
28	head-playlist	1
28	30sec-playlist	1
29	chorus-playlist	6
29	head-playlist	2
29	30sec-playlist	2
30	chorus-playlist	2
30	head-playlist	1
30	30sec-playlist	1
31	chorus-playlist	4
31	head-playlist	3
31	30sec-playlist	3
32	chorus-playlist	5
32	head-playlist	4
32	30sec-playlist	1
33	chorus-playlist	6
33	head-playlist	2
33	30sec-playlist	3
34	chorus-playlist	4
34	head-playlist	1
34	30sec-playlist	1
35	chorus-playlist	3
35	head-playlist	4
35	30sec-playlist	4
36	chorus-playlist	5
36	head-playlist	5
36	30sec-playlist	2
37	chorus-playlist	2
37	head-playlist	2
37	30sec-playlist	2
38	chorus-playlist	4
38	head-playlist	2
38	30sec-playlist	2
39	chorus-playlist	5
39	head-playlist	1
39	30sec-playlist	1
40	chorus-playlist	5
40	head-playlist	5
40	30sec-playlist	5
41	chorus-playlist	4
41	head-playlist	2
41	30sec-playlist	1
42	chorus-playlist	5
42	head-playlist	3
42	30sec-playlist	1
43	chorus-playlist	2
