Participant_id	Willingness for creation
1	2
2	5
3	1
4	5
5	4
6	6
7	5
8	5
9	5
10	5
11	1
12	2
13	3
14	4
15	4
16	3
17	3
18	6
19	5
20	4
21	4
22	5
23	6
24	2
25	2
26	6
27	2
28	1
29	5
30	4
31	3
32	5
33	6
34	1
35	3
36	6
37	3
38	5
39	5
40	5
41	3
42	4
43	2
44	5
45	4
46	5
47	6
48	4
49	2
50	1
51	1
52	4
53	2
54	6
55	4
56	6
57	6
58	5
59	4
60	3
61	6
62	5
63	5
64	6
65	6
66	5
67	4
68	4
69	6
70	5
71	4
72	3
73	5
74	5
75	6
76	5
77	4
78	4
79	3
80	4
81	4
82	4
83	1
84	5
85	4
86	6
87	4
88	5
89	4
90	2
91	4
92	5
93	5
94	2
95	4
96	1
97	5
98	4
99	4
100	6
101	5
102	5
103	5
104	5
105	5
106	4
107	6
108	6
109	6
110	3
111	6
112	3
113	5
114	4
115	2
116	5
117	5
118	5
119	4
120	3
121	2
122	2
123	4
124	6
125	3
126	6
127	5
128	5
129	5
130	5
131	6
132	6
133	4
134	6
135	4
136	6
137	6
138	4
139	4
140	4
141	4
142	2
143	5
144	3
145	5
146	5
147	4
148	5
149	5
150	5
151	5
152	5
153	2
154	6
155	4
156	5
157	3
158	5
159	1
160	5
161	4
162	5
163	5
164	4
165	4
166	4
167	4
168	6
169	5
170	3
171	5
172	6
173	1
174	5
175	4
176	5
177	6
178	5
179	2
180	2
181	5
182	2
183	4
184	6
185	6
186	6
187	4
188	4
189	6
190	6
191	4
192	3
193	1
194	4
195	5
196	5
197	6
198	4
199	2
200	1
201	2
202	6
203	3
204	4
205	5
206	5
207	4
208	6
209	4
210	4
211	5
212	1
213	6
214	5
