Participant_id	Willingness for self-made playlists	Willingness for others' playlists
1	2	5
2	4	5
3	1	5
4	6	4
5	5	3
6	6	4
7	4	5
8	3	5
9	5	5
10	4	5
11	1	2
12	4	5
13	5	6
14	4	4
15	4	4
16	3	5
17	2	4
18	5	5
19	6	6
20	1	2
21	4	1
22	5	4
23	6	6
24	1	2
25	4	3
26	5	6
27	1	2
28	1	4
29	6	4
30	2	4
31	4	4
32	5	5
33	6	5
34	4	4
35	3	4
36	5	5
37	2	5
38	4	2
39	5	4
40	5	5
41	4	5
42	5	5
43	2	5
44	6	5
45	6	6
46	3	5
47	6	6
48	2	2
49	4	4
50	2	4
51	1	4
52	5	5
53	2	5
54	6	3
55	2	2
56	6	4
57	5	4
58	5	5
59	4	5
60	2	4
61	6	6
62	5	6
63	5	4
64	6	5
65	6	6
66	2	5
67	4	5
68	3	2
69	6	4
70	6	5
71	5	2
72	4	4
73	5	4
74	5	5
75	6	4
76	6	5
77	2	4
78	5	5
79	3	5
80	4	4
81	5	5
82	4	4
83	3	2
84	5	4
85	1	6
86	4	4
87	6	6
88	5	4
89	4	4
90	1	3
91	4	2
92	5	4
93	6	5
94	5	5
95	5	5
96	2	3
97	3	5
98	4	4
99	4	4
100	6	6
101	5	5
102	4	3
103	5	5
104	6	5
105	4	4
106	5	4
107	5	4
108	6	5
109	6	5
110	3	3
111	6	5
112	5	4
113	5	4
114	4	5
115	4	5
116	4	5
117	5	5
118	6	3
119	3	2
120	3	5
121	2	4
122	5	6
123	5	4
124	6	6
125	3	4
126	6	6
127	5	4
128	6	6
129	6	5
130	5	2
131	5	5
132	6	5
133	4	4
134	4	6
135	4	4
136	6	5
137	5	4
138	4	5
139	5	5
140	3	3
141	5	4
142	4	3
143	6	4
144	4	4
145	4	6
146	4	6
147	4	6
148	5	6
149	5	6
150	5	4
151	5	4
152	5	4
153	2	1
154	6	4
155	4	4
156	4	5
157	3	4
158	6	5
159	1	1
160	5	5
161	5	4
162	6	6
163	3	6
164	4	2
165	6	2
166	6	5
167	4	4
168	6	5
169	3	2
170	4	3
171	6	6
172	2	6
173	2	6
174	6	5
175	4	5
176	5	5
177	6	4
178	5	4
179	4	4
180	4	2
181	5	5
182	2	4
183	3	5
184	5	5
185	5	2
186	6	3
187	3	4
188	5	6
189	6	6
190	6	5
191	4	4
192	4	5
193	3	4
194	4	4
195	5	5
196	4	4
197	5	6
198	5	4
199	2	2
200	1	3
201	5	5
202	6	3
203	4	4
204	3	4
205	6	4
206	5	4
207	5	4
208	5	6
209	3	5
210	2	4
211	5	6
212	3	4
213	5	6
214	6	6
