Participant_id	Playlist type	Property	Importance
1	chorus-playlist	SongHit	6
1	chorus-playlist	SongNew	6
1	chorus-playlist	ArtistSame	2
1	chorus-playlist	ArtistDiv	6
1	chorus-playlist	GenreSame	4
1	chorus-playlist	GenreDiv	6
1	chorus-playlist	MoodSame	1
1	chorus-playlist	MoodDiv	6
1	chorus-playlist	SongOrder	6
1	chorus-playlist	SongTop	2
1	chorus-playlist	SongLast	1
1	usual playlist	SongHit	5
1	usual playlist	SongNew	5
1	usual playlist	ArtistSame	6
1	usual playlist	ArtistDiv	3
1	usual playlist	GenreSame	2
1	usual playlist	GenreDiv	6
1	usual playlist	MoodSame	1
1	usual playlist	MoodDiv	6
1	usual playlist	SongOrder	6
1	usual playlist	SongTop	2
1	usual playlist	SongLast	1
2	chorus-playlist	SongHit	5
2	chorus-playlist	SongNew	2
2	chorus-playlist	ArtistSame	4
2	chorus-playlist	ArtistDiv	2
2	chorus-playlist	GenreSame	3
2	chorus-playlist	GenreDiv	4
2	chorus-playlist	MoodSame	2
2	chorus-playlist	MoodDiv	5
2	chorus-playlist	SongOrder	2
2	chorus-playlist	SongTop	2
2	chorus-playlist	SongLast	2
2	usual playlist	SongHit	1
2	usual playlist	SongNew	1
2	usual playlist	ArtistSame	1
2	usual playlist	ArtistDiv	4
2	usual playlist	GenreSame	3
2	usual playlist	GenreDiv	4
2	usual playlist	MoodSame	1
2	usual playlist	MoodDiv	2
2	usual playlist	SongOrder	1
2	usual playlist	SongTop	1
2	usual playlist	SongLast	1
4	chorus-playlist	SongHit	1
4	chorus-playlist	SongNew	1
4	chorus-playlist	ArtistSame	1
4	chorus-playlist	ArtistDiv	2
4	chorus-playlist	GenreSame	2
4	chorus-playlist	GenreDiv	2
4	chorus-playlist	MoodSame	2
4	chorus-playlist	MoodDiv	2
4	chorus-playlist	SongOrder	6
4	chorus-playlist	SongTop	6
4	chorus-playlist	SongLast	5
4	usual playlist	SongHit	1
4	usual playlist	SongNew	1
4	usual playlist	ArtistSame	1
4	usual playlist	ArtistDiv	2
4	usual playlist	GenreSame	2
4	usual playlist	GenreDiv	2
4	usual playlist	MoodSame	2
4	usual playlist	MoodDiv	2
4	usual playlist	SongOrder	6
4	usual playlist	SongTop	6
4	usual playlist	SongLast	5
5	chorus-playlist	SongHit	5
5	chorus-playlist	SongNew	5
5	chorus-playlist	ArtistSame	5
5	chorus-playlist	ArtistDiv	6
5	chorus-playlist	GenreSame	5
5	chorus-playlist	GenreDiv	5
5	chorus-playlist	MoodSame	5
5	chorus-playlist	MoodDiv	4
5	chorus-playlist	SongOrder	4
5	chorus-playlist	SongTop	4
5	chorus-playlist	SongLast	5
5	usual playlist	SongHit	6
5	usual playlist	SongNew	5
5	usual playlist	ArtistSame	6
5	usual playlist	ArtistDiv	6
5	usual playlist	GenreSame	6
5	usual playlist	GenreDiv	6
5	usual playlist	MoodSame	6
5	usual playlist	MoodDiv	4
5	usual playlist	SongOrder	5
5	usual playlist	SongTop	4
5	usual playlist	SongLast	5
6	chorus-playlist	SongHit	6
6	chorus-playlist	SongNew	2
6	chorus-playlist	ArtistSame	2
6	chorus-playlist	ArtistDiv	5
6	chorus-playlist	GenreSame	5
6	chorus-playlist	GenreDiv	4
6	chorus-playlist	MoodSame	5
6	chorus-playlist	MoodDiv	5
6	chorus-playlist	SongOrder	5
6	chorus-playlist	SongTop	6
6	chorus-playlist	SongLast	2
6	usual playlist	SongHit	5
6	usual playlist	SongNew	2
6	usual playlist	ArtistSame	2
6	usual playlist	ArtistDiv	5
6	usual playlist	GenreSame	5
6	usual playlist	GenreDiv	5
6	usual playlist	MoodSame	5
6	usual playlist	MoodDiv	5
6	usual playlist	SongOrder	5
6	usual playlist	SongTop	6
6	usual playlist	SongLast	2
7	chorus-playlist	SongHit	1
7	chorus-playlist	SongNew	5
7	chorus-playlist	ArtistSame	5
7	chorus-playlist	ArtistDiv	2
7	chorus-playlist	GenreSame	4
7	chorus-playlist	GenreDiv	6
7	chorus-playlist	MoodSame	4
7	chorus-playlist	MoodDiv	2
7	chorus-playlist	SongOrder	6
7	chorus-playlist	SongTop	2
7	chorus-playlist	SongLast	2
7	usual playlist	SongHit	1
7	usual playlist	SongNew	4
7	usual playlist	ArtistSame	5
7	usual playlist	ArtistDiv	3
7	usual playlist	GenreSame	5
7	usual playlist	GenreDiv	5
7	usual playlist	MoodSame	5
7	usual playlist	MoodDiv	1
7	usual playlist	SongOrder	3
7	usual playlist	SongTop	6
7	usual playlist	SongLast	5
8	chorus-playlist	SongHit	4
8	chorus-playlist	SongNew	2
8	chorus-playlist	ArtistSame	2
8	chorus-playlist	ArtistDiv	5
8	chorus-playlist	GenreSame	2
8	chorus-playlist	GenreDiv	5
8	chorus-playlist	MoodSame	2
8	chorus-playlist	MoodDiv	5
8	chorus-playlist	SongOrder	2
8	chorus-playlist	SongTop	2
8	chorus-playlist	SongLast	4
8	usual playlist	SongHit	4
8	usual playlist	SongNew	2
8	usual playlist	ArtistSame	2
8	usual playlist	ArtistDiv	5
8	usual playlist	GenreSame	1
8	usual playlist	GenreDiv	3
8	usual playlist	MoodSame	2
8	usual playlist	MoodDiv	4
8	usual playlist	SongOrder	2
8	usual playlist	SongTop	2
8	usual playlist	SongLast	2
9	chorus-playlist	SongHit	6
9	chorus-playlist	SongNew	6
9	chorus-playlist	ArtistSame	5
9	chorus-playlist	ArtistDiv	5
9	chorus-playlist	GenreSame	5
9	chorus-playlist	GenreDiv	4
9	chorus-playlist	MoodSame	4
9	chorus-playlist	MoodDiv	4
